start	end	text
0	8320	We will give you money. Fantastic. I will open up my AI calendar or my AI application
8320	16120	and I will simply tell it in very simple terms. There is an application due with the city of
16120	24040	Costa Brava in Portugal on the 27th of November. I would like you to remind me two weeks in advance
24040	30700	to send my proposal to my suppliers, ensure that the costs are all okay, and one week in advance
30700	39200	set a reminder to discuss with my team our proposal. And like magic, AI creates all of those
39200	47900	meeting requests, all of the calendar information, everything. And it's more like an
47900	53680	intelligent assistant. So if I can transfer that now maybe to a city application,
54040	59820	we are from Dublin. Our company will install a lot of the traffic signals and coordinated controls.
60400	66500	We believe in the future at some point, AI will be introduced in such a way that we can tell us
66500	72520	on Saturdays, our biggest football team, Dublin, play at the major stadium.
73620	78300	Here is a list of all the fixtures and all of the times the matches will take place.
78900	84020	We know we can coordinate with the traffic signals because it's an adaptive traffic control system.
84040	89940	I'm sure something you are all familiar with. It uses already a primitive form of AI to detect
89940	95540	traffic jams and change the light sequences. But what if we were able to use AI to tell us
95540	102240	for half an hour or an hour before the match, give all the routes towards the stadium,
102580	109140	extended green time access, and after the match, if the team win, change all the lights to blue.
109260	113860	No, I'm joking. We won't do that. But there are so many ways we could,
114040	120660	but we can't use it. Our company was started about 20 years ago. Traditionally was a maintenance
120660	125620	company, but we decided we wanted to be the best smart cities provider in Ireland.
126020	132800	So we established two sub companies within ours, which is for software development and traffic
132800	139560	installations. That means we have our own team on the ground, able to install lights, sensors,
139560	143940	any type of application, and our own software engineers,
144040	150100	to create all of the AI, the backend, and the machine learning that's required to provide the
150100	157700	best AI for Dublin. One of our most interesting pilot projects at the moment is done in
157700	163580	coordination with partners in the UK and around. And it's a huge problem in cities where you have
163580	170580	tram intersections with vehicles. A vehicle approaches a red light at high speed, and you
170580	173900	know instantly they are not going to be able to brake in time.
174040	178840	So we decided to make the red light. Nine times out of 10, the driver carries through the red light
178840	185080	and crashes straight into the tram. This can cause problems, obviously, for losing a public transport
185080	189880	vehicle for a certain amount of time while it's under repair, and then also the devastation it'll
189880	196120	cause the passengers and the cars. Our pilot program at the moment, instead of trying to stop
196120	203980	the car, it can read the speed of the approaching vehicle, make an assisted, educated decision that
203980	211980	this car will not stop in time for the red light, and instead it will stop the tram. It'll remove any
211980	218060	possibility for the public vehicle to cross the path of the speeding car. Now if we were to try
218060	223340	and introduce that based on people, it would be impossible. You would need one person per
223340	229580	intersection 24 hours a day to watch it. However, one AI system could watch over every single
229580	233500	junction that has a sensor that is monitoring all this data.
233980	239980	Which brings me to my real point. The ability for us to introduce AI and systems like this in
239980	245520	the future comes down to sensors. It comes down to the quality of the data that we are able to
245520	252340	collect in real time and bring on our cities. Really, we know AI won't really impact our lives.
252540	258160	We have a lovely saying in Ireland and Europe that a society grows stronger when its residents
258160	263660	plant trees whose shade they know they will never sit in. And this is what it's about. It is our
263660	263960	job to make sure that we have the data that we need to make sure that we have the data that we
263960	270440	need to put in the sensors so that the next generation can create life-changing AI applications.
271480	277480	We have made a small sensor for one of my most favourite projects that we have at the moment.
278600	282760	There's a lot of drownings in Ireland and it's unfortunate because we are surrounded
282760	288440	by so much water. And the lunch boys that are used to save someone who is drowning
288440	293640	regularly go missing, being stag dudes, being people using them. At the moment they are not
293640	299320	intelligent devices. A ring boy is lifted, it is thrown in the water to save someone and it is gone.
300040	306600	We developed a small sensor that sits at the bottom of the ring boy housing. It tells the
306600	311800	council when there is a life boy sensor present, but more importantly when there is not.
313080	317640	This then triggers the council to go out and replace the life boy.
317640	323320	They are not at a great cost, but what happens is it saves a life by ensuring there is
323320	329640	constantly a ring boy at the location a person needs there to be. But as we start to introduce
329640	335400	AI in the future, and again with our partners in the UK we are discovering this, if we develop that
335400	341560	sensor to a point where we know that it is being used or it can prove that the ring boy is being
341560	348840	used in an emergency situation and someone's life is in danger, that exact same trigger can be used
348840	353240	to send out drones to find where the person is in the water. It can be used to find where the person is in the water.
353720	360280	I give an exact GPS location. If the drone then confirms someone is drowning, it can trigger the
360280	366920	emergency response to the location to make sure that person is saved in time at the exact location
366920	374360	where they are in peril. It's a fantastic opportunity to utilize all of the technologies
374360	379640	that are available to us and we are very excited to keep developing this sensor and more.
380280	383160	If you are interested, we will be doing a demonstration
383320	391720	of this full system. Neil might have to tell me the exact location. It's the Smart Dublin stand
391720	397560	at three o'clock today. We have designed all of the software, all of the hardware,
397560	402440	and currently there are 600 of these sensors installed around Ireland at the moment.
409720	413240	I don't have a huge amount of time left, but I would like to thank
413320	419640	you for your participation and listening as cleanly as you have. As I said, Neil and I will
419640	424600	be on the Smart Dublin stand for most of the day. We can take you through all of our other
425160	431240	applications of AI that we are using, but we firmly believe that this is the future
431240	438120	of smart cities and the sooner we can start to see it as an assisted intelligence instead
438120	442680	of an artificial intelligence, the better all of our cities and public spaces will be.
443320	445560	Thank you for your time. Welcome any questions.
449320	450760	Give it up to Gengover, everyone.
452520	458040	All right. Well, thank you very much for this very interesting presentation and how we are putting
458040	465640	safety of our users first. Now, we still have maybe just about five minutes in case anybody
465640	471880	would want to ask a question. We have the microphone here in the front, so don't be shy.
471880	473000	Come over and ask a question.
474200	477320	It's always hard to speak the first. Nobody wants to speak at the start.
477320	478520	Who wants to break the ice?
481320	485480	Anyone? Then Ken, in the meantime, because we discussed that
486360	492440	before, the other day in our call. How much do you use AI in your day-to-day life? How many
492440	493320	times do you use it per day?
494920	500280	No, I do. I use it a lot. I gave the example at the start of using it to control my calendar,
500280	503320	using it as an assistant to set reminders. I'm an assistant to a standard system, which I'm an
503320	508920	extremely forgetful i'm sure some of you are fantastic at making notes at conferences and
508920	515100	putting them into your calendar and all that but it is almost impossible for me i tend to
515100	520260	months after the event find a scrambled up piece of paper at the bottom of my bag and go oh they
520260	525280	were the notes i took on the day whereas now with ai technologies and it's as simple as the
525280	530640	microsoft applications yesterday microsoft were on stage with open ai talking about their
530640	536300	partnership they had their developer conference and most of the applications for ai are already
536300	542360	in your computer it's not something you have to download or sign up to chat gbt for turbo
542360	549740	even microsoft to do has so many applications where you can just speak to it in a conversational
549740	556260	tone and suddenly before you know it all of these triggers are set that can assist your day for
556260	560380	reminders for uh yes yes setting setting uh
560640	566220	tasks to do that you're most likely to forget so as a forgetful person that i am i should be
566220	570700	anyone wanting to ask a question to uh to ken
570700	576680	all right then i think people have noted down uh your 3 p.m
576680	579780	demonstrations so make sure to check it at the smart
579780	583340	stand excellent thank you guys thank you so much
583340	590340	all right so now we are moving to the
590640	598000	second one of our solution talks of this session this one coming from a little bit closer to to our
598000	604880	home these days and i'm delighted to introduce actually one of the partners of eit uh tomorrow
604880	610640	mobility event uh i'm talking about the planification manager at moventis nuria
610640	616640	gluminas
616640	618640	welcome
618640	620640	thank you
620640	628640	uh good morning uh first of all thank you very much for inviting us to this session
629440	636640	we're very proud to be here for those who don't know moventis moventis is moventia's business unit
636640	644640	dedicated to collective mobility this division brings together all the companies of the group
644640	650480	that develop their business through the transfer of passengers in buses in coaches
650640	659440	streetcars or other mortals transports like public rental bicycles or carpooling
659440	673440	moventis is focused on providing innovative solutions that contribute to get sustainable connected and safe mobility for all users
673440	680320	in 2017 moventis started to collaborate with the technological platform shuttle
680320	680340	in 2017 moventis started to collaborate with the technological platform shuttle
680640	684000	to implement a transport on demand line in the city of san cuvada
684000	685360	to implement a transport on demand line in the city of san cuvada
685360	689440	nowadays we are operating three transport and demand lines in this city
689440	696720	with shuttle's solution for the user this solution consists in an application
696720	704080	the user when wants to take a trip he makes the request through the application and it tells him
704080	710480	when the bus is going to pick him up i'll try to explain very briefly how artificial
710480	710560	i'll try to explain very briefly how artificial
710560	713040	intelligence has improved this platform
716320	719920	to create artificial intelligence we need algorithms and data
721120	728000	on the transport on demand case the algorithm must solve a problem called the dial or right problem
